Country,State,Region,Population
India,Maharashtra,Mumbai,12442373
India,Maharashtra,Pune,7429350
India,Maharashtra,Nagpur,2463289
India,Gujarat,Ahmedabad,8050000
India,Gujarat,Surat,6950000
India,Gujarat,Vadodara,2350000
India,Karnataka,Bengaluru,13608000
India,Karnataka,Mysuru,1275000
India,Karnataka,Hubballi,1150000
India,Tamil Nadu,Chennai,11078000
India,Tamil Nadu,Coimbatore,2161000
India,Tamil Nadu,Madurai,1560000
India,Uttar Pradesh,Lucknow,3382000
India,Uttar Pradesh,Kanpur,3200000
India,Uttar Pradesh,Varanasi,1547000
India,Rajasthan,Jaipur,4073000
India,Rajasthan,Jodhpur,1517000
India,Rajasthan,Udaipur,604000
India,West Bengal,Kolkata,14900000
India,West Bengal,Howrah,1077000
India,West Bengal,Durgapur,581000
India,Delhi,New Delhi,16787941
India,Kerala,Kochi,2117000
India,Kerala,Thiruvananthapuram,1682000
India,Kerala,Kozhikode,2030000
