Order Date,State,Category,Sales,Quantity,Profit,Discount (%),Customer Rating
2023-11-24,Karnataka,Electronics,21030.2,9,2328.01,0,4.5
2023-10-07,Karnataka,Beauty,1446.96,2,185.36,20,4.4
2023-10-15,Tamil Nadu,Beauty,30952.54,8,4370.56,0,4.6
2023-03-23,Madhya Pradesh,Beauty,28424.39,11,3620.39,10,3.7
2023-07-14,Karnataka,Books,60335.34,12,15540.47,25,4.2
2023-03-05,Telangana,Beauty,13920.91,3,3653.81,20,4.8
2023-07-05,Punjab,Groceries,2531.05,3,329.38,10,5.0
2023-04-30,Odisha,Furniture,33602.43,13,7387.51,10,3.7
2023-07-01,Tamil Nadu,Sports,15205.45,3,1788.93,25,3.9
2023-08-25,Rajasthan,Sports,38648.05,18,5849.08,0,3.8
2023-01-17,Bihar,Books,32604.74,13,4121.77,20,4.8
2023-06-11,Tamil Nadu,Home Appliances,92756.61,13,20538.86,5,3.9
2023-05-07,Madhya Pradesh,Sports,70551.82,19,14701.39,10,3.8
2023-03-12,Kerala,Home Appliances,18505.1,3,4986.06,5,4.4
2023-12-15,Rajasthan,Furniture,43707.88,13,13075.07,20,3.9
2023-10-11,Odisha,Electronics,22451.31,4,4448.36,10,4.7
2023-06-24,Karnataka,Sports,23606.56,14,1905.38,25,4.8
2023-05-15,Kerala,Clothing,124860.05,17,33901.26,10,4.8
2023-09-17,Punjab,Groceries,16521.77,5,1908.94,20,4.9
2023-11-03,Uttar Pradesh,Home Appliances,1339.01,1,214.05,10,3.9
2023-05-04,Telangana,Furniture,17967.92,3,4663.13,20,4.6
2023-03-07,Haryana,Home Appliances,31292.14,18,6136.02,20,4.1
2023-04-19,Telangana,Groceries,34924.42,10,7954.77,10,4.2
2023-09-22,West Bengal,Furniture,17481.84,8,2698.83,20,4.3
2023-10-29,Tamil Nadu,Electronics,17426.42,3,1619.82,0,4.9
2023-06-19,Karnataka,Groceries,49656.0,9,6312.87,5,4.6
2023-10-20,Punjab,Home Appliances,51077.17,8,13160.0,5,3.6
2023-12-04,Rajasthan,Books,50165.74,14,13546.96,0,4.5
2023-11-27,Karnataka,Electronics,77500.82,13,19850.31,0,3.9
2023-04-08,Kerala,Home Appliances,18320.56,5,2588.33,5,4.8
2023-02-08,West Bengal,Furniture,10782.17,2,2144.89,0,5.0
2023-05-02,Delhi,Beauty,65763.01,16,17770.68,0,3.7
2023-01-02,Rajasthan,Sports,39590.54,15,9234.5,25,5.0
2023-10-12,Haryana,Home Appliances,9621.17,5,1230.49,0,4.4
2023-10-05,Maharashtra,Books,1752.14,2,323.96,20,3.7
2023-09-18,Karnataka,Clothing,14888.29,3,3402.67,5,4.1
2023-10-19,Tamil Nadu,Electronics,22297.51,20,5008.51,20,4.3
2023-05-14,Tamil Nadu,Books,19936.87,8,2169.0,25,3.9
2023-06-11,Telangana,Furniture,3937.14,1,1179.8,0,3.6
2023-04-20,Kerala,Sports,37497.23,5,10266.37,5,4.1
2023-03-22,West Bengal,Sports,157578.0,20,40586.1,20,3.5
2023-10-11,Gujarat,Furniture,12417.47,5,3423.95,25,4.3
2023-05-20,Gujarat,Groceries,22296.78,11,4894.86,10,4.3
2023-05-09,Telangana,Electronics,15771.4,3,4139.31,0,3.5
2023-03-08,Haryana,Sports,36355.39,6,7320.87,15,4.3
2023-02-27,Karnataka,Clothing,13863.8,18,2235.23,20,3.7
2023-03-07,Maharashtra,Sports,86908.33,12,22174.39,0,4.8
2023-04-18,Haryana,Groceries,12610.36,4,2562.1,15,5.0
2023-03-21,Telangana,Groceries,46929.27,6,12125.11,15,3.5
2023-06-20,Bihar,Beauty,20008.34,8,5066.56,0,4.1
2023-01-20,Odisha,Home Appliances,15974.37,8,4505.72,10,4.0
2023-04-27,Tamil Nadu,Electronics,24419.46,7,3450.29,0,5.0
2023-05-23,Uttar Pradesh,Beauty,53705.23,18,4622.52,10,3.8
2023-05-16,Maharashtra,Furniture,75184.56,20,18065.34,10,4.2
2023-09-19,Karnataka,Beauty,36586.23,19,3284.16,15,3.5
2023-10-03,Haryana,Groceries,44816.77,12,12940.95,10,4.4
2023-12-06,Odisha,Furniture,43034.19,10,9756.56,10,4.1
2023-06-01,Kerala,Clothing,25573.43,7,7336.51,25,4.6
2023-03-31,Punjab,Sports,59923.88,13,4799.26,10,3.8
2023-10-24,Punjab,Books,57200.93,15,13078.31,20,4.2
2023-03-28,Haryana,Furniture,43658.9,10,9572.08,10,3.6
2023-05-01,Haryana,Sports,52393.77,8,5890.0,0,3.9
2023-09-01,Punjab,Furniture,54124.61,15,11828.85,5,4.6
2023-07-16,West Bengal,Beauty,12854.28,8,2972.9,0,4.7
2023-04-23,Delhi,Home Appliances,9361.09,2,2638.36,0,4.2
2023-08-26,Haryana,Books,76423.39,15,18207.13,20,4.1
2023-10-08,West Bengal,Clothing,62008.37,16,15216.29,25,3.9
2023-09-24,West Bengal,Groceries,34191.4,9,8102.67,5,3.9
2023-06-13,Telangana,Furniture,8156.15,5,1339.79,5,4.6
2023-02-02,Rajasthan,Beauty,50265.42,11,8619.03,5,4.7
2023-07-19,Telangana,Electronics,63704.3,19,5178.98,10,3.9
2023-07-19,Odisha,Beauty,109914.62,18,21999.31,20,4.8
2023-09-07,Tamil Nadu,Sports,57992.41,14,9600.56,25,4.5
2023-07-27,Madhya Pradesh,Clothing,110948.43,15,32813.98,20,3.5
2023-07-21,Punjab,Electronics,15961.87,3,1753.47,15,3.8
2023-05-14,Rajasthan,Books,27371.71,7,4222.09,15,3.9
2023-08-04,Gujarat,Furniture,10325.99,16,2051.49,10,3.8
2023-02-05,Bihar,Electronics,7622.09,1,944.07,0,4.4
2023-05-03,Delhi,Home Appliances,18919.09,4,2420.74,25,3.9
2023-07-08,Delhi,Furniture,46412.43,6,4816.76,0,4.9
2023-10-22,Haryana,Beauty,98293.38,13,12152.26,20,4.5
2023-11-18,Tamil Nadu,Furniture,68771.99,10,14585.89,0,4.7
2023-10-17,Bihar,Electronics,53947.07,12,12166.94,0,4.3
2023-06-24,Maharashtra,Beauty,20664.66,16,6021.13,25,4.8
2023-08-24,Madhya Pradesh,Clothing,25494.38,14,4965.9,25,3.9
2023-10-03,Bihar,Home Appliances,56502.13,15,13607.17,10,4.0
2023-05-06,Odisha,Furniture,64010.1,9,8554.95,15,4.4
2023-12-09,Rajasthan,Books,4207.3,1,637.42,15,3.8
2023-05-13,Uttar Pradesh,Sports,115177.56,20,16214.59,0,4.3
2023-04-08,Karnataka,Groceries,58300.67,14,14388.39,25,4.2
2023-12-31,West Bengal,Home Appliances,1197.9,1,154.23,25,3.9
2023-12-06,Punjab,Books,74416.75,16,11581.23,25,4.3
2023-06-30,Madhya Pradesh,Home Appliances,25197.05,9,3293.72,25,3.8
2023-03-03,Madhya Pradesh,Clothing,14860.19,7,2771.78,25,4.4
2023-09-26,Punjab,Sports,26978.85,4,3916.63,10,3.8
2023-01-08,Madhya Pradesh,Clothing,7572.31,9,696.62,10,4.5
2023-03-06,Haryana,Home Appliances,28181.59,4,5813.7,15,4.2
2023-06-24,Delhi,Electronics,68021.79,9,12590.86,0,4.1
2023-02-07,Punjab,Electronics,8094.91,5,1649.94,10,3.6
2023-05-08,Karnataka,Beauty,99419.03,20,21479.68,20,4.1
2023-08-15,Gujarat,Beauty,47647.21,10,4443.13,25,3.6
2023-04-17,Haryana,Groceries,49078.9,9,5622.11,5,4.3
2023-03-22,Maharashtra,Beauty,85054.25,15,15597.31,0,3.8
2023-12-28,Gujarat,Home Appliances,16966.16,3,4805.84,25,4.4
2023-04-12,Rajasthan,Furniture,39349.28,18,4437.72,10,4.7
2023-02-06,Maharashtra,Clothing,49628.3,10,12969.51,10,4.2
2023-08-28,Madhya Pradesh,Sports,98410.93,13,18708.3,15,4.2
2023-11-03,Maharashtra,Beauty,55306.38,11,4739.22,5,4.9
